urban,recommand,zone,desc,region,price,unitprice,age
gulou,水佐岗 房龄新 户型方正 配套成熟 采光无遮挡,水佐岗48巷3号 , | 2室2厅 | 61.01平米 | 南 | 简装 | 有电梯,水佐岗,205,33602,低楼层(共7层)1999年建板楼  -  
gulou,赤小五十中 湖南路 挑高 三房 带电梯 可改两卫生间,中商万豪 , | 3室2厅 | 112.97平米 | 东南 | 精装 | 有电梯,湖南路,290,25671,低楼层(共54层)2010年建塔楼  -  
gulou,鼓楼地铁站 湖南路商圈 高云岭小区 正规带门禁小区,高云岭 , | 3室1厅 | 61.72平米 | 南 北 | 精装,湖南路,220,35645,高楼层(共6层)1990年建板楼  -  
gulou,银城施教区 中间楼层 双南一北 干净清爽,银城花园北片 , | 3室1厅 | 79.91平米 | 南 北 | 简装 | 无电梯,龙江,385,48180,低楼层(共7层)1996年建板楼  -  
gulou,29中 武夷路 天目路 楼层好 生活交通方便 诚心出售,南阴阳营 , | 3室1厅 | 73.99平米 | 东 | 简装 | 有电梯,宁海路,280,37843,中楼层(共7层)1988年建板塔结合  -  
gulou,五塘广场 云燕园 电梯 地铁 带阁楼 南北通透,云燕园小区 , | 4室2厅 | 87.65平米 | 南 北 | 简装 | 有电梯,五塘广场,275,31375,高楼层(共15层)2003年建板楼  -  
gulou,满五年 通透明亮 交通出行方便 风景好,华保新寓 , | 3室2厅 | 82.65平米 | 南 北 | 简装 | 有电梯,草场门大街,308,37266,中楼层(共16层)2001年建板楼  -  
gulou,南北通透，双卧朝南，一房朝北的户型，交通方便,豆菜桥小区 , | 3室1厅 | 77.67平米 | 南 北 | 简装 | 无电梯,华侨路,290,37338,中楼层(共7层)1990年建板楼  -  
gulou,南北通透格局 中间楼层 业主诚心出售,华保新寓 , | 2室1厅 | 64.11平米 | 南 | 简装 | 无电梯,草场门大街,230,35876,低楼层(共7层)1998年建板楼  -  
gulou,凤凰街84号5楼13年精装2室，满五年，汉中门地铁口！,凤凰街84号 , | 2室0厅 | 54.28平米 | 西南 | 精装 | 无电梯,汉中门大街,210,38689,高楼层(共6层)1984年建板楼  -  
gulou,热河南路中间楼层满五年唯一双卧朝南,热河南路 , | 2室1厅 | 69.11平米 | 南 | 简装 | 无电梯,热河南路,194,28072,中楼层(共7层)1994年建板塔结合  -  
gulou,月光C户型 拎包入住 产权清晰 满五年,月光广场 , | 2室1厅 | 92.17平米 | 南 | 简装 | 有电梯,龙江,299,32441,低楼层(共32层)2000年建塔楼  -  
gulou,低楼层 交通便利 配套成熟 居家装修 满五年仅这套,上海路81号 , | 3室1厅 | 71.46平米 | 东 西 | 其他,宁海路,228,31906,低楼层(共7层)暂无数据  -  
gulou,满五年唯一 热河南路板块总价低 鼓楼滨江亲水岸线,二板桥 , | 2室1厅 | 51.22平米 | 南 北 | 简装 | 无电梯,热河南路,126,24600,高楼层(共7层)1990年建板塔结合  -  
gulou,满五年 12年的婚装  品牌家具家电  拎包入住 诚心卖房,江滨新寓 , | 2室1厅 | 57.33平米 | 南 北 | 精装 | 无电梯,草场门大街,218,38026,中楼层(共6层)1995年建板楼  -  
gulou,银城花园 正规2房 居家精装  南北通透,银城花园北片 , | 2室1厅 | 50.13平米 | 南 北 | 精装 | 无电梯,龙江,253,50469,低楼层(共7层)1996年建板楼  -  
gulou,北阴阳营 户型方正 楼层好 采光无遮挡 交通便利,北阴阳营 , | 3室1厅 | 80.68平米 | 南 北 | 毛坯 | 无电梯,湖南路,255,31607,中楼层(共6层)1988年建板楼  -  
gulou,龙江05年 电梯房 采光好 精装修 满五唯一,新城市广场 , | 3室2厅 | 57.76平米 | 南 | 精装 | 有电梯,龙江,295,51074,高楼层(共18层)2005年建塔楼  -  
gulou,新河一村 三房朝南 独立小区  南北通透采光充足,新河一村 , | 3室1厅 | 99.35平米 | 南 北 | 简装 | 无电梯,定淮门大街,430,43282,高楼层(共7层)1997年建板楼  -  
gulou,满2年，无贷款，4年级及以下可用树人，双南卧室,迎江园 , | 2室1厅 | 48.44平米 | 南 北 | 简装 | 无电梯,定淮门大街,320,66062,高楼层(共7层)1996年建板楼  -  
gulou,月光B户型 拎包入住 产权清晰 满五年,月光广场 , | 3室1厅 | 108.06平米 | 南 西 | 精装 | 有电梯,龙江,390,36092,低楼层(共32层)2000年建塔楼  -  
gulou,楼层好 满五年 业主在南京只有一套房子 没有个税,金地苑 , | 2室2厅 | 67.1平米 | 南 北 | 精装 | 无电梯,凤凰西街,215,32042,中楼层(共7层)1998年建板楼  -  
gulou,楼层好  环境适宜 不临街  新上,江滨新寓 , | 2室1厅 | 57.35平米 | 南 北 | 简装 | 无电梯,草场门大街,205,35746,中楼层(共6层)1995年建板楼  -  
gulou,三牌楼大街 广东路小区 精装修两房 不占用 明厨明卫,广东路1至25号 , | 2室1厅 | 53.15平米 | 东 西 | 精装 | 无电梯,三牌楼,185,34808,高楼层(共7层)1992年建板塔结合  -  
gulou,峨嵋岭19号 满五年唯一 南北通透 采光充足 大三房,峨嵋岭19号 , | 3室2厅 | 90.6平米 | 南 北 | 精装 | 无电梯,华侨路,742,81899,中楼层(共6层)1999年建板塔结合  -  
gulou,三牌楼商圈 98年房龄 中间楼层 满五年  拎包入住,镇江路8号 , | 3室1厅 | 63.75平米 | 南 | 简装,三牌楼,180,28236,中楼层(共7层)板楼  -  
gulou,古平岗小区 中间楼层两房 适合刚需,古平岗小区 , | 2室1厅 | 53.25平米 | 南 | 精装 | 无电梯,龙江,165,30986,中楼层(共6层)1984年建板楼  -  
gulou,两卧室朝南 明厨明卫 中间户 居家装修,宁工新寓二村 , | 2室2厅 | 73.75平米 | 南 北 | 精装 | 无电梯,草场门大街,289,39187,中楼层(共7层)2000年建板楼  -  
gulou,石头城新村 2室1厅 145万,石头城新村 , | 2室1厅 | 46.55平米 | 南 北 | 简装 | 无电梯,龙江,145,31150,高楼层(共7层)1996年建板楼  -  
gulou,满五年唯一 龙江核心新小区 配套成熟 总价低,金陵名人居 , | 2室2厅 | 112.92平米 | 南 北 | 精装 | 无电梯,龙江,478,42331,高楼层(共6层)2003年建板塔结合  -  
gulou,幕府佳园 南北通透 采光充足 生活便利,幕府佳园 , | 4室2厅 | 121.22平米 | 南 北 | 精装 | 无电梯,金陵小区,360,29699,高楼层(共5层)2006年建板楼  -  
gulou,小区中间 临小桃园 双南一北 高楼层 边户,佳盛花园 , | 3室2厅 | 96.8平米 | 南 北 | 简装 | 无电梯,热河南路,273,28203,高楼层(共7层)板塔结合  -  
gulou,顶跃 紫气东来 电梯 满五年就这一套 看房方便,裕华名居 , | 3室2厅 | 134.87平米 | 南 北 | 精装 | 有电梯,凤凰西街,558,41374,高楼层(共11层)2000年建板楼  -  
gulou,幕府佳园 南北通透 采光充足 生活便利,幕府佳园 , | 4室2厅 | 121.22平米 | 南 北 | 精装 | 无电梯,金陵小区,360,29699,高楼层(共5层)2006年建板楼  -  
gulou,上海路 华侨路 满五年唯一 南北通透 楼层适中,豆菜桥小区 , | 3室1厅 | 67平米 | 南 北 | 简装 | 有电梯,华侨路,226,33732,低楼层(共7层)1990年建板楼  -  
gulou,满五年 南京大学 中间楼层  三房 地铁房,青岛路小区 , | 3室1厅 | 70.29平米 | 东 西 北 | 简装,宁海路,240,34145,中楼层(共6层)1986年建板楼  -  
gulou,佳盛花园 一楼带小花园 小区环境好,佳盛花园 , | 2室2厅 | 86.96平米 | 南 | 简装 | 无电梯,热河南路,280,32199,低楼层(共7层)板塔结合  -  
gulou,电梯三房 房龄新 停车位充足 出行方便,北四卫头 , | 3室1厅 | 88.63平米 | 西 北 | 精装 | 有电梯,湖南路,260,29336,中楼层(共23层)1995年建板楼  -  
gulou,新金贸花园三开间朝南户型方正采光好小区中间位置,新金贸花园 , | 4室2厅 | 148.14平米 | 南 北 | 精装 | 无电梯,许府巷,580,39153,中楼层(共7层)2004年建板楼  -  
gulou,带产权车位 位置好 采光佳 银城物业 带露台,聚福园二期 , | 5室2厅 | 185.21平米 | 南 西 北 | 精装 | 无电梯,龙江,720,38875,高楼层(共6层)2002年建板楼  -  
gulou,老式精装修 南北通透 免增值税和个税 阁楼层高2.6米,凤凰西街152号 , | 5室2厅 | 92.7平米 | 南 北 | 其他 | 无电梯,凤凰西街,395,42611,高楼层(共6层)2000年建板楼  -  
gulou,随园 儿童医院 鼓楼医院 地铁 南京大学 满五年,随园 , | 2室2厅 | 71.67平米 | 南 | 简装,宁海路,240,33487,中楼层(共7层)1994年建板楼  -  
gulou,满五年 双南户型 精装修 看房方便 房龄新 有物业,新和园 , | 2室1厅 | 71.58平米 | 南 北 | 精装 | 无电梯,定淮门大街,420,58676,中楼层(共7层)2000年建板楼  -  
gulou,正规大四房  居家装修 采光充足 户型方正 业主诚心卖,定淮门 , | 4室2厅 | 101.74平米 | 南 北 | 简装 | 无电梯,龙江,300,29487,高楼层(共7层)1994年建板楼  -  
gulou,虎踞北路双门楼交通便利配套成熟,察哈尔路十二新村 , | 2室1厅 | 58.67平米 | 南 | 其他,挹江门,152,25908,中楼层(共7层)1991年建板楼  -  
gulou,鼓楼区小市安怀村  2室1厅 简单装修 地铁公交便利,安怀村 , | 2室1厅 | 63.21平米 | 南 北 | 简装 | 无电梯,小市,145,22940,中楼层(共7层)1990年建板塔结合  -  
gulou,拉小银城和汇文 金舟花园一楼带院子 南北通透,金舟花园 , | 2室1厅 | 65.58平米 | 南 | 简装 | 有电梯,龙江,410,62520,低楼层(共7层)1996年建板塔结合  -  
gulou,双南两房，采光不遮挡，小区中间，人文气息浓厚。,腾飞园 , | 2室1厅 | 64.52平米 | 南 | 简装 | 无电梯,龙江,209,32394,高楼层(共6层)1996年建板楼  -  
gulou,低楼层，适合刚需，人文环境好 、生活配套齐全,洪庙巷 , | 2室1厅 | 57.66平米 | 南 北 | 简装 | 无电梯,福建路,150,26015,低楼层(共6层)1995年建板楼  -  
gulou,五塘新村  五塘广场 户型方正 南北通透  简单装修,五塘新村 , | 2室1厅 | 49.11平米 | 南 北 | 简装,五塘广场,125,25454,中楼层(共6层)板楼  -  
gulou,小区环境淳朴典雅，安静舒适，出行购物便捷 诚心出售,金碧花园 , | 2室1厅 | 70.08平米 | 南 北 | 简装 | 无电梯,小市,175,24972,低楼层(共7层)1998年建板塔结合  -  
gulou,此房南北通透，两房朝南，一房朝北，楼层好，采光佳。,银城花园北片 , | 3室1厅 | 78.94平米 | 南 | 简装 | 无电梯,龙江,350,44338,中楼层(共7层)1996年建板楼  -  
gulou,交通方便 中间楼层 小区环境好 楼层采光不错,白云新寓 , | 3室1厅 | 70.69平米 | 东南 南 | 简装 | 无电梯,五塘广场,172,24332,中楼层(共7层)1998年建板楼  -  
gulou,新街口 市区2004年房子 户型好 大阳台,明华清园 , | 4室2厅 | 178.62平米 | 南 北 | 精装 | 有电梯,华侨路,750,41989,中楼层(共23层)2004年建板楼  -  
gulou,上海路地铁口 拉小和二十九中 三房低总价 采光好急售,怡景花园 , | 3室1厅 | 77.55平米 | 南 北 | 精装 | 有电梯,华侨路,550,70922,高楼层(共7层)1995年建板楼  -  
gulou,许府巷满五年 中间楼层5楼 不临街 朝南户,建设新村 , | 3室1厅 | 79.87平米 | 南 北 | 简装 | 无电梯,许府巷,385,48204,高楼层(共6层)1984年建板楼  -  
gulou,此房满五年，业主名下没有其它房产。中间楼层 带电梯,金信花园 , | 3室2厅 | 143.77平米 | 南 北 | 简装 | 有电梯,龙江,645,44864,低楼层(共10层)2002年建板楼  -  
gulou,双南东边户 明厨明卫 交通便利 采光还行,豆菜桥小区 , | 2室2厅 | 56.95平米 | 南 | 简装 | 有电梯,华侨路,170,29851,高楼层(共7层)1990年建板楼  -  
gulou,清凉山庄 大三房 满五年唯一 楼层适中 采光好,清凉山庄 , | 2室1厅 | 74.96平米 | 西 | 简装 | 无电梯,华侨路,330,44024,高楼层(共7层)1995年建板楼  -  
gulou,黑龙江路二巷 配套完善 交通便利 拎包入住,黑龙江路二巷 , | 2室2厅 | 77.9平米 | 南 北 | 其他 | 无电梯,许府巷,195,25033,低楼层(共7层)2000年建板楼  -  
gulou,电梯房 房龄新 采光好 万达 环宇城商圈,名城世纪园 , | 3室2厅 | 115.87平米 | 南 北 | 简装 | 有电梯,凤凰西街,480,41426,中楼层(共14层)2003年建板楼  -  
gulou,苏宁千秋情缘知心园电梯大三房采光好拎包入住,苏宁千秋情缘知心园 , | 3室2厅 | 141.78平米 | 南 北 | 精装,龙江,618,43589,中楼层(共10层)板楼  -  
gulou,宁工新寓 龙江地铁口  配套齐全 采光充足,宁工新寓二村 , | 3室1厅 | 79.03平米 | 南 北 | 简装 | 有电梯,草场门大街,315,39859,高楼层(共9层)2000年建板楼  -  
gulou,龙江地铁口 双南精装 视野开阔 超大客厅 交通便利,中青大厦 , | 3室2厅 | 161.92平米 | 南 | 简装 | 有电梯,龙江,640,39526,高楼层(共19层)2000年建板塔结合  -  
gulou,双南东边户 明厨明卫 交通便利 采光还行,豆菜桥小区 , | 2室2厅 | 56.95平米 | 南 | 简装 | 有电梯,华侨路,170,29851,高楼层(共7层)1990年建板楼  -  
gulou,此房满五年 居家装修 南京审计大学房改房 顶楼带阁楼,凤凰西街152号 , | 5室2厅 | 92.7平米 | 南 北 | 精装 | 无电梯,凤凰西街,380,40993,高楼层(共6层)1999年建板楼  -  
gulou,芳草园施教区不占 总价低两房 业主房子已买好 急卖,芳草园 , | 2室1厅 | 81.2平米 | 西南 | 简装 | 有电梯,龙江,510,62808,低楼层(共30层)1997年建板塔结合  -  
gulou,2002年小区商品房性质 顶楼带阁楼 有个小露台,宁惠新寓 , | 3室2厅 | 84.02平米 | 南 北 | 简装 | 无电梯,热河南路,260,30946,高楼层(共7层)2000年建板楼  -  
gulou,阳光好 视野开阔 低楼层 朝南,鼓教新村 , | 2室1厅 | 67.97平米 | 南 | 简装 | 无电梯,草场门大街,218,32073,低楼层(共7层)1998年建板楼  -  
gulou,福建路小两室 采光好 南北通透 户型方正,金川门小区 , | 2室1厅 | 53.95平米 | 南 北 | 简装 | 有电梯,福建路,155,28731,中楼层(共7层)2001年建板楼  -  
gulou,宁工新寓居家装修低楼层优质小两房,宁工新寓二村 , | 2室1厅 | 49.57平米 | 南 北 | 简装 | 有电梯,草场门大街,180,36313,低楼层(共9层)2000年建板楼  -  
gulou,龙江  电梯3居 单价总价低 2卫 明卫,月光广场 , | 3室1厅 | 124.42平米 | 西南 北 | 精装 | 有电梯,龙江,368,29578,高楼层(共32层)2000年建塔楼  -  
gulou,宁和新寓 采光不挡 电梯房 小区环境 主卧朝南,宁和新寓 , | 3室2厅 | 111.46平米 | 南 西 北 | 精装 | 有电梯,三牌楼,468,41989,低楼层(共17层)2002年建板塔结合  -  
gulou,精装改善 五楼上跃 前后无遮挡 采光好 带露台,清江西苑 , | 4室2厅 | 151.97平米 | 南 北 | 其他 | 无电梯,定淮门大街,660,43430,高楼层(共6层)2002年建板楼  -  
gulou,正泰花苑 4室3厅 620万,正泰花苑 , | 4室3厅 | 199.48平米 | 南 北 | 精装 | 无电梯,龙江,620,31081,高楼层(共6层)2003年建板楼  -  
gulou,凤凰西街，2016年精装修，可拎包入住，一楼带院子养老,凤凰西街269至275号 , | 2室1厅 | 49.18平米 | 南 | 精装,凤凰西街,170,34567,低楼层(共7层)2000年建板楼  -  
gulou,盐仓桥商圈  大桥南路 精装修满五年 拎包入住,归云堂15巷 , | 2室1厅 | 60.6平米 | 南 北 | 其他 | 无电梯,挹江门,129,21288,高楼层(共6层)1995年建板塔结合  -  
gulou,明华新村 2楼 三房朝南 阳光不挡 房龄较新,明华新村 , | 3室2厅 | 147.94平米 | 南 北 | 简装 | 有电梯,华侨路,440,29742,低楼层(共7层)1990年建板楼  -  
gulou,新河一村  楼层好 南北通透 全明户型 居家精装修,新河一村 , | 2室1厅 | 58.21平米 | 南 北 | 其他 | 无电梯,定淮门大街,340,58410,低楼层(共7层)1991年建板楼  -  
gulou,世茂 满五年唯一 精装修 中高楼层 户型方正 采光充足,世茂滨江新城 , | 3室1厅 | 176.08平米 | 南 北 | 精装 | 有电梯,热河南路,585,33224,中楼层(共52层)2010年建板塔结合  -  
gulou,中山北路 盐仓桥 724所单位的房改房，2000年房龄,盐仓桥11号 , | 2室1厅 | 57.45平米 | 东 西 | 精装 | 无电梯,建宁路,172,29940,中楼层(共7层)2000年建板楼  -  
gulou,低楼层小两房  满两年  不占用,新河一村 , | 2室1厅 | 45.79平米 | 东 南 北 | 简装 | 无电梯,定淮门大街,320,69885,低楼层(共7层)1994年建板楼  -  
gulou,居家精装修 可拎包入住 楼层适中,香榭里 , | 3室2厅 | 120.38平米 | 南 北 | 其他 | 无电梯,龙江,565,46935,低楼层(共6层)2003年建板楼  -  
gulou,新牡丹里 顶楼带超大阁楼 采光充足 房龄新 视野开阔,莫愁花园牡丹里 , | 3室2厅 | 71.63平米 | 南 | 精装 | 无电梯,凤凰西街,258,36019,高楼层(共7层)2000年建板楼  -  
gulou,采光好 南北通透 看房方便 诚心出售,清河新寓一村 , | 2室1厅 | 62.7平米 | 南 北 | 简装 | 无电梯,凤凰西街,410,65391,高楼层(共7层)1998年建塔楼  -  
gulou,双南户型 楼层好 户型好 满五年 诚心卖,花开园 , | 2室1厅 | 65.36平米 | 南 西 北 | 简装 | 无电梯,龙江,265,40545,中楼层(共6层)2001年建板楼  -  
gulou,方正户型 采光充足 视野开阔 楼层好,阳光广场 , | 2室1厅 | 92.14平米 | 西南 | 简装 | 有电梯,龙江,318,34513,中楼层(共32层)2000年建塔楼  -  
gulou,芳草园电梯三房全明户型秦淮河景观房配套全生活方便,芳草园 , | 3室2厅 | 112.85平米 | 东 北 | 精装 | 有电梯,龙江,615,54498,高楼层(共32层)2000年建板塔结合  -  
gulou,中间楼层 大三房 五十中 简单装修,铁路南街 , | 3室0厅 | 63.38平米 | 东南 | 简装 | 无电梯,湖南路,192,30294,中楼层(共6层)1985年建板楼  -  
gulou,月光广场 正规三房 户型方正 中高楼层 视野采光好,月光广场 , | 3室2厅 | 133.69平米 | 东 南 | 精装 | 有电梯,龙江,435,32538,中楼层(共32层)2000年建塔楼  -  
gulou,满五年就这一套免税可改3房2012年婚装房龄1996年 通透,新河一村 , | 2室2厅 | 78.59平米 | 南 北 | 精装 | 无电梯,定淮门大街,385,48989,高楼层(共7层)1996年建板楼  -  
gulou,高教新村 电梯大两房 居家装修,高教新村 , | 2室1厅 | 78.02平米 | 西南 | 简装 | 有电梯,草场门大街,275,35248,高楼层(共28层)1998年建塔楼  -  
gulou,凤凰街 满五年 芳草园凤凰校区 中间楼层  采光无遮挡,凤凰街84号 , | 3室1厅 | 75.36平米 | 东 南 西 | 简装 | 无电梯,汉中门大街,255,33838,低楼层(共6层)1984年建板楼  -  
gulou,龙江地铁口满五唯一无个税和增值税诚心出售,高教新村 , | 3室1厅 | 98.42平米 | 南 西北 | 简装 | 有电梯,草场门大街,290,29466,中楼层(共28层)1999年建塔楼  -  
gulou,中山北路 三牌楼大街 配套成熟,和会街 , | 1室1厅 | 44.45平米 | 南 | 简装 | 无电梯,三牌楼,142,31947,高楼层(共9层)1995年建板楼  -  
gulou,育才公寓西片 东边户 中间楼层 位置好 满五年银城汇文,育才公寓 , | 2室1厅 | 66.99平米 | 南 北 | 简装 | 无电梯,凤凰西街,430,64189,中楼层(共6层)2000年建板楼  -  
gulou,力学29中 学籍不占 满五唯一 90年以后房龄 可停车,汉口西路 , | 2室1厅 | 83.49平米 | 西 | 简装 | 无电梯,宁海路,600,71865,低楼层(共6层)1990年建板楼  -  
gulou,拉小银城和汇文 双卧朝南大两居 南北通透,金舟花园 , | 2室2厅 | 87.29平米 | 南 北 | 简装 | 有电梯,龙江,468,53615,高楼层(共9层)1996年建板楼  -  
gulou,南秀村 三楼 地铁房 环境好 满五年,南秀村 , | 2室1厅 | 57.86平米 | 东 西 | 精装 | 有电梯,宁海路,190,32838,中楼层(共7层)1985年建板楼  -  
gulou,芳草园施教区 双南两房 采光好 业主急售,芳草园 , | 2室1厅 | 63.04平米 | 南 | 简装 | 有电梯,龙江,460,72970,高楼层(共7层)1998年建板塔结合  -  
gulou,满五年  不临街 简装修 采光好 送正常层高阁楼 有露台,凤凰花园城清溪园 , | 3室2厅 | 63.37平米 | 南 北 | 简装 | 无电梯,凤凰西街,358,56494,高楼层(共7层)1997年建板楼  -  
gulou,此房满五年唯一  户型方正 房子装修好,水佑岗 , | 3室1厅 | 75.89平米 | 南 北 | 精装 | 有电梯,水佐岗,298,39268,低楼层(共7层)1993年建板楼  -  
gulou,银城汇文 满五年 2008年精装 不临街 南北通透,金舟花园 , | 2室1厅 | 65.58平米 | 南 北 | 精装 | 有电梯,龙江,410,62520,低楼层(共7层)1996年建板塔结合  -  
gulou,两房朝南 中间楼层 采光不挡 满五年唯一,天津新村 , | 2室1厅 | 59.35平米 | 南 | 简装 | 无电梯,水佐岗,230,38754,中楼层(共6层)1982年建板塔结合  -  
gulou,银城汇文 满五年 时代天地广场 挑高两房,时代天地广场 , | 2室1厅 | 56.06平米 | 南 | 简装 | 有电梯,凤凰西街,407,72601,中楼层(共22层)2009年建塔楼  -  
gulou,金银街 南京大学 简单装修 清爽 地铁 双南,金银街17号 , | 2室1厅 | 47.34平米 | 南 | 简装 | 无电梯,宁海路,178,37601,中楼层(共7层)1994年建板楼  -  
gulou,电梯三房 房龄新 满五年 楼层好 视野广阔,龙凤花园隽凤园 , | 3室2厅 | 139.05平米 | 南 北 | 简装 | 有电梯,龙江,530,38116,高楼层(共32层)2005年建板楼  -  
gulou,盐仓桥商圈 94年房龄 南北通透 满五年 拎包入住,北祖师庵 , | 1室1厅 | 42.12平米 | 南 | 简装 | 无电梯,建宁路,113,26829,高楼层(共6层)1985年建板楼  -  
gulou,金陵大公馆 大三房 不临街   满五,金陵大公馆 , | 3室2厅 | 143.61平米 | 南 北 | 精装 | 有电梯,三牌楼,630,43869,低楼层(共18层)2009年建板楼  -  
gulou,学籍三年级 闹中取静 交通方便 配套齐全,赤壁路 , | 3室2厅 | 92.93平米 | 南 北 | 精装 | 无电梯,湖南路,464,49931,低楼层(共3层)2000年建板塔结合  -  
